st_angle, drive_speed
-0.043518, 5.500000
-0.042068, 5.500000
-0.042068, 5.500000
-0.040617, 5.500000
-0.040617, 5.500000
-0.040617, 5.500000
-0.040617, 5.500000
-0.040617, 5.500000
-0.037716, 5.500000
-0.037716, 5.500000
-0.037716, 5.500000
-0.037716, 5.500000
-0.037716, 5.500000
-0.033364, 5.500000
-0.033364, 5.500000
-0.033364, 5.500000
-0.033364, 5.500000
-0.033364, 5.500000
-0.030463, 5.500000
-0.030463, 5.500000
-0.030463, 5.500000
-0.030463, 5.500000
-0.030463, 5.500000
-0.027562, 5.500000
-0.027562, 5.500000
-0.027562, 5.500000
-0.026111, 5.500000
-0.026111, 5.500000
-0.023210, 5.500000
-0.023210, 5.500000
-0.023210, 5.500000
-0.020309, 5.500000
-0.020309, 5.500000
-0.021759, 5.500000
-0.021759, 5.500000
-0.021759, 5.500000
-0.020309, 5.500000
-0.020309, 5.500000
-0.017407, 5.500000
-0.017407, 5.500000
-0.017407, 5.500000
-0.014506, 5.500000
-0.014506, 5.500000
-0.014506, 5.500000
-0.014506, 5.500000
-0.014506, 5.500000
-0.013055, 5.500000
-0.013055, 5.500000
-0.015957, 5.500000
-0.015957, 5.500000
-0.015957, 5.500000
-0.010154, 5.500000
-0.010154, 5.500000
-0.010154, 5.500000
-0.010154, 5.500000
-0.010154, 5.500000
-0.008704, 5.500000
-0.008704, 5.500000
-0.010154, 5.500000
-0.010154, 5.500000
-0.010154, 5.500000
-0.007253, 5.500000
-0.007253, 5.500000
-0.007253, 5.500000
-0.007253, 5.500000
-0.007253, 5.500000
-0.005802, 5.500000
-0.005802, 5.500000
-0.005802, 5.500000
-0.005802, 5.500000
-0.005802, 5.500000
-0.002901, 5.500000
-0.002901, 5.500000
-0.004352, 5.500000
-0.004352, 5.500000
-0.004352, 5.500000
-0.002901, 5.500000
-0.002901, 5.500000
-0.001451, 5.500000
-0.001451, 5.500000
-0.001451, 5.500000
0.000000, 5.500000
0.000000, 5.500000
0.000000, 5.500000
0.000000, 5.500000
0.000000, 5.500000
0.004352, 5.500000
0.004352, 5.500000
0.002901, 5.500000
0.002901, 5.500000
0.002901, 5.500000
0.004352, 5.500000
0.004352, 5.500000
0.004352, 5.500000
0.004352, 5.500000
0.004352, 5.500000
0.005803, 5.500000
0.005803, 5.500000
0.008704, 5.500000
0.008704, 5.500000
0.008704, 5.500000
0.008704, 5.500000
0.008704, 5.500000
0.008704, 5.500000
0.008704, 5.500000
0.008704, 5.500000
0.011605, 5.500000
0.011605, 5.500000
0.011605, 5.500000
0.011605, 5.500000
0.011605, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.015957, 5.500000
0.015957, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.015957, 5.500000
0.015957, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.014506, 5.500000
0.014506, 5.500000
0.010154, 5.500000
0.010154, 5.500000
0.010154, 5.500000
0.013056, 5.500000
0.013056, 5.500000
0.011605, 5.500000
