px, py, yaw, speed
-3.893769, 8.684803, -3.136009, 5.499806
-3.893769, 8.684803, -3.136009, 5.499806
-3.948766, 8.684508, -3.133913, 5.499816
-3.948766, 8.684508, -3.133913, 5.499816
-4.003764, 8.684238, -3.132679, 5.499824
-4.003764, 8.684238, -3.132679, 5.499824
-4.003764, 8.684238, -3.132679, 5.499824
-4.058761, 8.683960, -3.131844, 5.499833
-4.058761, 8.683960, -3.131844, 5.499833
-4.113759, 8.683698, -3.131647, 5.499841
-4.113759, 8.683698, -3.131647, 5.499841
-4.113759, 8.683698, -3.131647, 5.499841
-4.168757, 8.683422, -3.131661, 5.499848
-4.168757, 8.683422, -3.131661, 5.499848
-4.223755, 8.683160, -3.132155, 5.499856
-4.223755, 8.683160, -3.132155, 5.499856
-4.223755, 8.683160, -3.132155, 5.499856
-4.278753, 8.682889, -3.132730, 5.499862
-4.278753, 8.682889, -3.132730, 5.499862
-4.333751, 8.682638, -3.133676, 5.499869
-4.333751, 8.682638, -3.133676, 5.499869
-4.333751, 8.682638, -3.133676, 5.499869
-4.388749, 8.682384, -3.134613, 5.499875
-4.388749, 8.682384, -3.134613, 5.499875
-4.443747, 8.682158, -3.135846, 5.499881
-4.443747, 8.682158, -3.135846, 5.499881
-4.443747, 8.682158, -3.135846, 5.499881
-4.498746, 8.681938, -3.137010, 5.499887
-4.498746, 8.681938, -3.137010, 5.499887
-4.553744, 8.681755, -3.138421, 5.499892
-4.553744, 8.681755, -3.138421, 5.499892
-4.553744, 8.681755, -3.138421, 5.499892
-4.608743, 8.681587, -3.139721, 5.499897
-4.608743, 8.681587, -3.139721, 5.499897
-4.663742, 8.681465, -3.141235, 5.499902
-4.663742, 8.681465, -3.141235, 5.499902
-4.663742, 8.681465, -3.141235, 5.499902
-4.718741, 8.681367, 3.140573, 5.499907
-4.718741, 8.681367, 3.140573, 5.499907
-4.773740, 8.681323, 3.139003, 5.499911
-4.773740, 8.681323, 3.139003, 5.499911
-4.828739, 8.681310, 3.137587, 5.499915
-4.828739, 8.681310, 3.137587, 5.499915
-4.883738, 8.681359, 3.135992, 5.499919
-4.883738, 8.681359, 3.135992, 5.499919
-4.883738, 8.681359, 3.135992, 5.499919
-4.938737, 8.681419, 3.134883, 5.499923
-4.938737, 8.681419, 3.134883, 5.499923
-4.993737, 8.681443, 3.134773, 5.499927
-4.993737, 8.681443, 3.134773, 5.499927
-4.993737, 8.681443, 3.134773, 5.499927
-5.048736, 8.681461, 3.135171, 5.499930
-5.048736, 8.681461, 3.135171, 5.499930
-5.103735, 8.681443, 3.136289, 5.499934
-5.103735, 8.681443, 3.136289, 5.499934
-5.103735, 8.681443, 3.136289, 5.499934
-5.158735, 8.681413, 3.137683, 5.499937
-5.158735, 8.681413, 3.137683, 5.499937
-5.213734, 8.681339, 3.139605, 5.499940
-5.213734, 8.681339, 3.139605, 5.499940
-5.213734, 8.681339, 3.139605, 5.499940
-5.268733, 8.681241, -3.141543, 5.499943
-5.268733, 8.681241, -3.141543, 5.499943
-5.323732, 8.681085, -3.139108, 5.499945
-5.323732, 8.681085, -3.139108, 5.499945
-5.323732, 8.681085, -3.139108, 5.499945
-5.378732, 8.680889, -3.136666, 5.499948
-5.378732, 8.680889, -3.136666, 5.499948
-5.433730, 8.680620, -3.133916, 5.499951
-5.433730, 8.680620, -3.133916, 5.499951
-5.433730, 8.680620, -3.133916, 5.499951
-5.488729, 8.680321, -3.131553, 5.499953
-5.488729, 8.680321, -3.131553, 5.499953
-5.543728, 8.680037, -3.130110, 5.499955
-5.543728, 8.680037, -3.130110, 5.499955
-5.543728, 8.680037, -3.130110, 5.499955
-5.598727, 8.679732, -3.129116, 5.499957
-5.598727, 8.679732, -3.129116, 5.499957
-5.653725, 8.679431, -3.128798, 5.499959
-5.653725, 8.679431, -3.128798, 5.499959
-5.653725, 8.679431, -3.128798, 5.499959
-5.708724, 8.679106, -3.128724, 5.499961
-5.708724, 8.679106, -3.128724, 5.499961
-5.763723, 8.678786, -3.129155, 5.499963
-5.763723, 8.678786, -3.129155, 5.499963
-5.763723, 8.678786, -3.129155, 5.499963
-5.818721, 8.678446, -3.129686, 5.499965
-5.818721, 8.678446, -3.129686, 5.499965
-5.873720, 8.678117, -3.130605, 5.499966
-5.873720, 8.678117, -3.130605, 5.499966
-5.873720, 8.678117, -3.130605, 5.499966
-5.928719, 8.677777, -3.131526, 5.499968
-5.928719, 8.677777, -3.131526, 5.499968
-5.983717, 8.677457, -3.132754, 5.499970
-5.983717, 8.677457, -3.132754, 5.499970
-5.983717, 8.677457, -3.132754, 5.499970
-6.038716, 8.677137, -3.133919, 5.499971
-6.038716, 8.677137, -3.133919, 5.499971
-6.093715, 8.676847, -3.135336, 5.499972
-6.093715, 8.676847, -3.135336, 5.499972
-6.093715, 8.676847, -3.135336, 5.499972
-6.148714, 8.676567, -3.136646, 5.499974
-6.148714, 8.676567, -3.136646, 5.499974
-6.203713, 8.676327, -3.138173, 5.499975
-6.203713, 8.676327, -3.138173, 5.499975
-6.203713, 8.676327, -3.138173, 5.499975
-6.258713, 8.676107, -3.139565, 5.499976
-6.258713, 8.676107, -3.139565, 5.499976
-6.313712, 8.675937, -3.141149, 5.499977
-6.313712, 8.675937, -3.141149, 5.499977
-6.313712, 8.675937, -3.141149, 5.499977
-6.368712, 8.675794, 3.140605, 5.499978
-6.368712, 8.675794, 3.140605, 5.499978
-6.423711, 8.675710, 3.138994, 5.499979
-6.423711, 8.675710, 3.138994, 5.499979
-6.423711, 8.675710, 3.138994, 5.499979
-6.478711, 8.675660, 3.137548, 5.499980
-6.478711, 8.675660, 3.137548, 5.499980
-6.533711, 8.675676, 3.135932, 5.499981
-6.533711, 8.675676, 3.135932, 5.499981
-6.533711, 8.675676, 3.135932, 5.499981
-6.588711, 8.675732, 3.134486, 5.499982
-6.588711, 8.675732, 3.134486, 5.499982
-6.643710, 8.675860, 3.132875, 5.499983
-6.643710, 8.675860, 3.132875, 5.499983
-6.643710, 8.675860, 3.132875, 5.499983
-6.698710, 8.676007, 3.131760, 5.499984
-6.698710, 8.676007, 3.131760, 5.499984
-6.753710, 8.676125, 3.131651, 5.499985
-6.753710, 8.676125, 3.131651, 5.499985
-6.753710, 8.676125, 3.131651, 5.499985
-6.808709, 8.676271, 3.131735, 5.499985
-6.808709, 8.676271, 3.131735, 5.499985
-6.863709, 8.676491, 3.131372, 5.499986
-6.863709, 8.676491, 3.131372, 5.499986
-6.863709, 8.676491, 3.131372, 5.499986
-6.918708, 8.676729, 3.131273, 5.499987
-6.918708, 8.676729, 3.131273, 5.499987
-6.973708, 8.676931, 3.131986, 5.499987
-6.973708, 8.676931, 3.131986, 5.499987
-6.973708, 8.676931, 3.131986, 5.499987
-7.028707, 8.677124, 3.133052, 5.499988
-7.028707, 8.677124, 3.133052, 5.499988
-7.083707, 8.677276, 3.134708, 5.499989
-7.083707, 8.677276, 3.134708, 5.499989
-7.083707, 8.677276, 3.134708, 5.499989
-7.138707, 8.677408, 3.136535, 5.499989
-7.138707, 8.677408, 3.136535, 5.499989
-7.193706, 8.677486, 3.138800, 5.499990
-7.193706, 8.677486, 3.138800, 5.499990
-7.193706, 8.677486, 3.138800, 5.499990
-7.248706, 8.677530, 3.141110, 5.499990
-7.248706, 8.677530, 3.141110, 5.499990
-7.303706, 8.677506, -3.139430, 5.499991
-7.303706, 8.677506, -3.139430, 5.499991
-7.303706, 8.677506, -3.139430, 5.499991
-7.358706, 8.677431, -3.136823, 5.499991
-7.358706, 8.677431, -3.136823, 5.499991
-7.413706, 8.677273, -3.133949, 5.499991
-7.413706, 8.677273, -3.133949, 5.499991
-7.413706, 8.677273, -3.133949, 5.499991
-7.468705, 8.677075, -3.131493, 5.499992
-7.468705, 8.677075, -3.131493, 5.499992
-7.523705, 8.676882, -3.129983, 5.499992
-7.523705, 8.676882, -3.129983, 5.499992
-7.523705, 8.676882, -3.129983, 5.499992
-7.578704, 8.676660, -3.128942, 5.499993
-7.578704, 8.676660, -3.128942, 5.499993
-7.633704, 8.676433, -3.128592, 5.499993
-7.633704, 8.676433, -3.128592, 5.499993
-7.633704, 8.676433, -3.128592, 5.499993
-7.688703, 8.676174, -3.128499, 5.499993
-7.688703, 8.676174, -3.128499, 5.499993
-7.743702, 8.675913, -3.128921, 5.499994
-7.743702, 8.675913, -3.128921, 5.499994
-7.743702, 8.675913, -3.128921, 5.499994
-7.798702, 8.675626, -3.129451, 5.499994
-7.798702, 8.675626, -3.129451, 5.499994
-7.853701, 8.675343, -3.130372, 5.499994
-7.853701, 8.675343, -3.130372, 5.499994
-7.853701, 8.675343, -3.130372, 5.499994
-7.908700, 8.675044, -3.131302, 5.499994
