px, py, yaw, odom_speed
-1.453760, -0.182881, -0.009130, 5.499061
-1.453760, -0.182881, -0.009130, 5.499061
-1.398771, -0.183298, -0.007311, 5.499106
-1.398771, -0.183298, -0.007311, 5.499106
-1.398771, -0.183298, -0.007311, 5.499106
-1.343781, -0.183674, -0.005372, 5.499148
-1.343781, -0.183674, -0.005372, 5.499148
-1.288790, -0.183975, -0.003033, 5.499189
-1.288790, -0.183975, -0.003033, 5.499189
-1.288790, -0.183975, -0.003033, 5.499189
-1.233798, -0.184223, -0.000680, 5.499227
-1.233798, -0.184223, -0.000680, 5.499227
-1.178806, -0.184384, 0.001987, 5.499264
-1.178806, -0.184384, 0.001987, 5.499264
-1.178806, -0.184384, 0.001987, 5.499264
-1.123813, -0.184480, 0.004595, 5.499299
-1.123813, -0.184480, 0.004595, 5.499299
-1.068820, -0.184477, 0.007459, 5.499332
-1.068820, -0.184477, 0.007459, 5.499332
-1.068820, -0.184477, 0.007459, 5.499332
-1.013827, -0.184422, 0.009896, 5.499364
-1.013827, -0.184422, 0.009896, 5.499364
-0.958833, -0.184359, 0.011379, 5.499394
-0.958833, -0.184359, 0.011379, 5.499394
-0.958833, -0.184359, 0.011379, 5.499394
-0.903839, -0.184257, 0.012389, 5.499423
-0.903839, -0.184257, 0.012389, 5.499423
-0.848845, -0.184141, 0.012705, 5.499451
-0.848845, -0.184141, 0.012705, 5.499451
-0.848845, -0.184141, 0.012705, 5.499451
-0.793850, -0.183984, 0.012763, 5.499477
-0.793850, -0.183984, 0.012763, 5.499477
-0.738856, -0.183818, 0.012307, 5.499502
-0.738856, -0.183818, 0.012307, 5.499502
-0.738856, -0.183818, 0.012307, 5.499502
-0.683861, -0.183618, 0.011743, 5.499525
-0.683861, -0.183618, 0.011743, 5.499525
-0.628866, -0.183417, 0.010789, 5.499548
-0.628866, -0.183417, 0.010789, 5.499548
-0.628866, -0.183417, 0.010789, 5.499548
-0.573871, -0.183195, 0.009828, 5.499569
-0.573871, -0.183195, 0.009828, 5.499569
-0.518875, -0.182984, 0.008561, 5.499590
-0.518875, -0.182984, 0.008561, 5.499590
-0.518875, -0.182984, 0.008561, 5.499590
-0.463880, -0.182763, 0.007357, 5.499609
-0.463880, -0.182763, 0.007357, 5.499609
-0.408884, -0.182566, 0.005901, 5.499628
-0.408884, -0.182566, 0.005901, 5.499628
-0.408884, -0.182566, 0.005901, 5.499628
-0.353888, -0.182372, 0.004554, 5.499646
-0.353888, -0.182372, 0.004554, 5.499646
-0.298892, -0.182213, 0.002992, 5.499663
-0.298892, -0.182213, 0.002992, 5.499663
-0.298892, -0.182213, 0.002992, 5.499663
-0.243895, -0.182068, 0.001568, 5.499679
-0.243895, -0.182068, 0.001568, 5.499679
-0.188898, -0.181968, -0.000048, 5.499694
