px, py, yaw, speed
-4.084368, 8.699809, 3.132080, 5.499770
-4.139365, 8.700037, 3.133251, 5.499781
-4.139365, 8.700037, 3.133251, 5.499781
-4.139365, 8.700037, 3.133251, 5.499781
-4.194363, 8.700208, 3.135144, 5.499792
-4.194363, 8.700208, 3.135144, 5.499792
-4.249360, 8.700367, 3.136991, 5.499802
-4.249360, 8.700367, 3.136991, 5.499802
-4.249360, 8.700367, 3.136991, 5.499802
-4.304358, 8.700560, 3.138193, 5.499811
-4.304358, 8.700560, 3.138193, 5.499811
-4.359356, 8.700724, 3.139493, 5.499820
-4.359356, 8.700724, 3.139493, 5.499820
-4.359356, 8.700724, 3.139493, 5.499820
-4.414354, 8.700805, 3.141469, 5.499829
-4.414354, 8.700805, 3.141469, 5.499829
-4.469353, 8.700851, -3.139822, 5.499837
-4.469353, 8.700851, -3.139822, 5.499837
-4.469353, 8.700851, -3.139822, 5.499837
-4.524351, 8.700909, -3.138600, 5.499844
-4.524351, 8.700909, -3.138600, 5.499844
-4.579349, 8.700946, -3.137622, 5.499852
-4.579349, 8.700946, -3.137622, 5.499852
-4.579349, 8.700946, -3.137622, 5.499852
-4.634348, 8.700985, -3.137154, 5.499859
-4.634348, 8.700985, -3.137154, 5.499859
-4.689347, 8.700997, -3.136794, 5.499866
-4.689347, 8.700997, -3.136794, 5.499866
-4.689347, 8.700997, -3.136794, 5.499866
-4.744345, 8.701010, -3.136831, 5.499872
-4.744345, 8.701010, -3.136831, 5.499872
-4.799344, 8.700999, -3.136882, 5.499878
-4.799344, 8.700999, -3.136882, 5.499878
-4.799344, 8.700999, -3.136882, 5.499878
-4.854343, 8.700991, -3.137250, 5.499884
-4.854343, 8.700991, -3.137250, 5.499884
-4.909342, 8.700962, -3.137567, 5.499889
-4.909342, 8.700962, -3.137567, 5.499889
-4.909342, 8.700962, -3.137567, 5.499889
-4.964341, 8.700942, -3.138147, 5.499895
-4.964341, 8.700942, -3.138147, 5.499895
-5.019340, 8.700908, -3.138632, 5.499900
-5.019340, 8.700908, -3.138632, 5.499900
-5.019340, 8.700908, -3.138632, 5.499900
-5.074339, 8.700888, -3.139345, 5.499904
-5.074339, 8.700888, -3.139345, 5.499904
-5.129338, 8.700859, -3.139932, 5.499909
-5.129338, 8.700859, -3.139932, 5.499909
-5.129338, 8.700859, -3.139932, 5.499909
-5.184337, 8.700852, -3.140722, 5.499913
-5.184337, 8.700852, -3.140722, 5.499913
-5.239336, 8.700841, -3.141368, 5.499917
-5.239336, 8.700841, -3.141368, 5.499917
-5.239336, 8.700841, -3.141368, 5.499917
-5.294335, 8.700857, 3.140984, 5.499921
-5.294335, 8.700857, 3.140984, 5.499921
-5.349334, 8.700875, 3.140308, 5.499925
-5.349334, 8.700875, 3.140308, 5.499925
-5.349334, 8.700875, 3.140308, 5.499925
-5.404334, 8.700925, 3.139455, 5.499929
-5.404334, 8.700925, 3.139455, 5.499929
-5.459333, 8.700981, 3.138766, 5.499932
-5.459333, 8.700981, 3.138766, 5.499932
-5.459333, 8.700981, 3.138766, 5.499932
-5.514332, 8.701073, 3.137905, 5.499935
-5.514332, 8.701073, 3.137905, 5.499935
-5.569331, 8.701176, 3.137214, 5.499938
-5.569331, 8.701176, 3.137214, 5.499938
-5.569331, 8.701176, 3.137214, 5.499938
-5.624331, 8.701318, 3.136355, 5.499941
-5.624331, 8.701318, 3.136355, 5.499941
-5.679330, 8.701474, 3.135668, 5.499944
-5.679330, 8.701474, 3.135668, 5.499944
-5.679330, 8.701474, 3.135668, 5.499944
-5.734329, 8.701672, 3.134814, 5.499947
-5.734329, 8.701672, 3.134814, 5.499947
-5.789328, 8.701887, 3.134134, 5.499949
-5.789328, 8.701887, 3.134134, 5.499949
-5.789328, 8.701887, 3.134134, 5.499949
-5.844327, 8.702146, 3.133288, 5.499952
-5.844327, 8.702146, 3.133288, 5.499952
-5.899326, 8.702423, 3.132615, 5.499954
-5.899326, 8.702423, 3.132615, 5.499954
-5.899326, 8.702423, 3.132615, 5.499954
-5.954324, 8.702747, 3.131777, 5.499956
-5.954324, 8.702747, 3.131777, 5.499956
-6.009323, 8.703091, 3.131112, 5.499958
-6.009323, 8.703091, 3.131112, 5.499958
-6.009323, 8.703091, 3.131112, 5.499958
-6.064321, 8.703483, 3.130282, 5.499960
-6.064321, 8.703483, 3.130282, 5.499960
-6.119319, 8.703870, 3.129947, 5.499962
-6.119319, 8.703870, 3.129947, 5.499962
-6.119319, 8.703870, 3.129947, 5.499962
-6.174318, 8.704202, 3.130615, 5.499964
-6.174318, 8.704202, 3.130615, 5.499964
-6.229317, 8.704506, 3.131794, 5.499966
-6.229317, 8.704506, 3.131794, 5.499966
-6.229317, 8.704506, 3.131794, 5.499966
-6.284316, 8.704752, 3.133694, 5.499967
-6.284316, 8.704752, 3.133694, 5.499967
-6.339315, 8.704962, 3.135868, 5.499969
-6.339315, 8.704962, 3.135868, 5.499969
-6.339315, 8.704962, 3.135868, 5.499969
-6.394314, 8.705101, 3.138567, 5.499970
-6.394314, 8.705101, 3.138567, 5.499970
-6.449314, 8.705189, 3.141379, 5.499972
-6.449314, 8.705189, 3.141379, 5.499972
-6.449314, 8.705189, 3.141379, 5.499972
-6.504314, 8.705189, -3.138603, 5.499973
-6.504314, 8.705189, -3.138603, 5.499973
-6.559314, 8.705119, -3.135395, 5.499974
-6.559314, 8.705119, -3.135395, 5.499974
-6.559314, 8.705119, -3.135395, 5.499974
-6.614313, 8.704944, -3.131883, 5.499976
-6.614313, 8.704944, -3.131883, 5.499976
-6.669312, 8.704707, -3.128762, 5.499977
-6.669312, 8.704707, -3.128762, 5.499977
-6.669312, 8.704707, -3.128762, 5.499977
-6.724311, 8.704452, -3.126567, 5.499978
-6.724311, 8.704452, -3.126567, 5.499978
-6.779310, 8.704142, -3.124824, 5.499979
-6.779310, 8.704142, -3.124824, 5.499979
-6.779310, 8.704142, -3.124824, 5.499979
-6.834309, 8.703802, -3.123762, 5.499980
-6.834309, 8.703802, -3.123762, 5.499980
-6.889307, 8.703402, -3.122946, 5.499981
-6.889307, 8.703402, -3.122946, 5.499981
-6.889307, 8.703402, -3.122946, 5.499981
-6.944306, 8.702971, -3.122639, 5.499982
-6.944306, 8.702971, -3.122639, 5.499982
-6.999303, 8.702484, -3.122436, 5.499983
-6.999303, 8.702484, -3.122436, 5.499983
-6.999303, 8.702484, -3.122436, 5.499983
-7.054301, 8.701972, -3.122622, 5.499983
-7.054301, 8.701972, -3.122622, 5.499983
-7.109298, 8.701412, -3.122815, 5.499984
-7.109298, 8.701412, -3.122815, 5.499984
-7.109298, 8.701412, -3.122815, 5.499984
-7.164294, 8.700836, -3.123316, 5.499985
-7.164294, 8.700836, -3.123316, 5.499985
-7.219291, 8.700221, -3.123757, 5.499986
-7.219291, 8.700221, -3.123757, 5.499986
-7.219291, 8.700221, -3.123757, 5.499986
-7.274287, 8.699599, -3.124451, 5.499986
-7.274287, 8.699599, -3.124451, 5.499986
-7.329283, 8.698949, -3.125041, 5.499987
-7.329283, 8.698949, -3.125041, 5.499987
-7.329283, 8.698949, -3.125041, 5.499987
-7.384279, 8.698302, -3.125849, 5.499988
-7.384279, 8.698302, -3.125849, 5.499988
-7.439275, 8.697636, -3.126522, 5.499988
-7.439275, 8.697636, -3.126522, 5.499988
-7.439275, 8.697636, -3.126522, 5.499988
-7.494271, 8.696982, -3.127391, 5.499989
-7.494271, 8.696982, -3.127391, 5.499989
-7.549267, 8.696317, -3.128107, 5.499989
-7.549267, 8.696317, -3.128107, 5.499989
-7.549267, 8.696317, -3.128107, 5.499989
-7.604263, 8.695672, -3.129003, 5.499990
-7.604263, 8.695672, -3.129003, 5.499990
-7.659259, 8.695023, -3.129735, 5.499990
-7.659259, 8.695023, -3.129735, 5.499990
-7.659259, 8.695023, -3.129735, 5.499990
-7.714256, 8.694401, -3.130639, 5.499991
-7.714256, 8.694401, -3.130639, 5.499991
-7.769252, 8.693781, -3.131373, 5.499991
-7.769252, 8.693781, -3.131373, 5.499991
-7.769252, 8.693781, -3.131373, 5.499991
-7.824249, 8.693193, -3.132273, 5.499992
-7.824249, 8.693193, -3.132273, 5.499992
-7.879246, 8.692613, -3.132998, 5.499992
-7.879246, 8.692613, -3.132998, 5.499992
-7.879246, 8.692613, -3.132998, 5.499992
-7.934243, 8.692069, -3.133888, 5.499992
-7.934243, 8.692069, -3.133888, 5.499992
-7.989240, 8.691537, -3.134603, 5.499993
